Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission
ETHBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BATBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
BTGBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
CFIBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
DSHBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EBSTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EDGBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EMC2BTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EOSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ERCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
ETCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EXCLBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
EXPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FCTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FLDCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
FTCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GAMEBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GNOBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GNTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GOLOSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GRSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
GUPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
HMQBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
IONBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
IOPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
KMDBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
KOREBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LBCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LMCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LSKBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
LTCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
MANABTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.1
