Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
ETHBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ETH
ADABTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ADA
ADXBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ADX
AMPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-AMP
ANTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ANT
ARDRBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ARDR
ARKBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ARK
BATBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-BAT
BAYBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-BAY
BCCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-BCC
BNTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-BNT
BSDBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-BSD
BTGBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-BTG
CANNBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-CANN
CFIBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-CFI
CVCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-CVC
DASHBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DASH
DCRBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DCR
DCTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DCT
DGBBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DGB
DNTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DNT
DOGEBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DOGE
DOPEBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-DOPE
EBSTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-EBST
EDGBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-EDG
EMC2BTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-EMC2
ERCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ERC
ETCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ETC
EXCLBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-EXCL
EXPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-EXP
FCTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-FCT
FLDCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-FLDC
FTCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-FTC
GAMEBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-GAME
GNOBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-GNO
GNTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-GNT
GOLOSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-GOLOS
GRSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-GRS
GUPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-GUP
HMQBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-HMQ
IONBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-ION
IOPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-IOP
KMDBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-KMD
KOREBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-KORE
LBCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-LBC
LMCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-LMC
LSKBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-LSK
LTCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-LTC
MANABTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MANA
MCOBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MCO
MEMEBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MEME
MERBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MER
MONABTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MONA
MUEBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MUE
MUSICBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-MUSIC
NAVBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-NAV
NBTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-NBT
NEOBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-NEO
NMRBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-NMR
NXSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-NXS
NXTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-NXT
OKBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-OK
OMGBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-OMG
PARTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-PART
PAYBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-PAY
PIVXBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-PIVX
POTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-POT
POWRBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-POWR
PPCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-PPC
PTOYBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-PTOY
QTUMBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-QTUM
QWARKBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-QWARK
RADSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-RADS
RCNBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-RCN
RDDBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-RDD
REPBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-REP
RLCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-RLC
SALTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SALT
SBDBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SBD
SCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SC
SHIFTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SHIFT
SIBBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SIB
SLSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SLS
SNTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SNT
STEEMBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-STEEM
STORJBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-STORJ
STRATBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-STRAT
SWTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SWT
SYNXBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SYNX
SYSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-SYS
THCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-THC
TIXBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-TIX
TRSTBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-TRST
TXBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-TX
UBQBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-UBQ
UNBBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-UNB
VIABTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-VIA
VIBBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-VIB
VRCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-VRC
VTCBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-VTC
WAVESBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-WAVES
WINGSBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-WINGS
XELBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-XEL
XEMBTC,0.01,0.0001,0,0,0.000001,0.000001,0,1,1,-0.25,BITTREX:BTC-XEM
