Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AA,50,0.01,0,0,0.01,0.01,0,10,1,0,AA-CFD-SMART-USD
AAPL,50,0.01,0,0,0.01,0.01,0,10,1,0,AAPL-CFD-SMART-USD
ABT,50,0.01,0,0,0.01,0.01,0,10,1,0,ABT-CFD-SMART-USD
ABX,50,0.01,0,0,0.01,0.01,0,10,1,0,ABX-CFD-SMART-USD
ACN,50,0.01,0,0,0.01,0.01,0,10,1,0,ACN-CFD-SMART-USD
ADBE,50,0.01,0,0,0.01,0.01,0,10,1,0,ADBE-CFD-SMART-USD
AFL,50,0.01,0,0,0.01,0.01,0,10,1,0,AFL-CFD-SMART-USD
AMAT,50,0.01,0,0,0.01,0.01,0,10,1,0,AMAT-CFD-SMART-USD
AMGN,50,0.01,0,0,0.01,0.01,0,10,1,0,AMGN-CFD-SMART-USD
AMT,50,0.01,0,0,0.01,0.01,0,10,1,0,AMT-CFD-SMART-USD
AMZN,50,0.01,0,0,0.01,0.01,0,10,1,0,AMZN-CFD-SMART-USD
APA,50,0.01,0,0,0.01,0.01,0,10,1,0,APA-CFD-SMART-USD
APC,50,0.01,0,0,0.01,0.01,0,10,1,0,APC-CFD-SMART-USD
ARNC,50,0.01,0,0,0.01,0.01,0,10,1,0,ARNC-CFD-SMART-USD
AXP,50,0.01,0,0,0.01,0.01,0,10,1,0,AXP-CFD-SMART-USD
BA,50,0.01,0,0,0.01,0.01,0,10,1,0,BA-CFD-SMART-USD
BAC,50,0.01,0,0,0.01,0.01,0,10,1,0,BAC-CFD-SMART-USD
BAX,50,0.01,0,0,0.01,0.01,0,10,1,0,BAX-CFD-SMART-USD
BHI,50,0.01,0,0,0.01,0.01,0,10,1,0,BHI-CFD-SMART-USD
BHP,50,0.01,0,0,0.01,0.01,0,10,1,0,BHP-CFD-SMART-USD
BIDU,50,0.01,0,0,0.01,0.01,0,10,1,0,BIDU-CFD-SMART-USD
BIIB,50,0.01,0,0,0.01,0.01,0,10,1,0,BIIB-CFD-SMART-USD
