Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.68308,0.00005,-0.2311,-0.1955,0.0001,0.088873,0,200,1000,0.5,AUD/USD
EUR/CHF,1.06825,0.00005,-0.2808,-0.4119,0.0001,0.093615,0,100,1000,0.5,EUR/CHF
EUR/USD,1.12525,0.00005,-0.4977,-0.2044,0.0001,0.088873,0,200,1000,0.5,EUR/USD
GBP/USD,1.25562,0.00005,-0.3822,-0.391,0.0001,0.088873,0,200,1000,0.5,GBP/USD
GER30,11800.5,0.5,-0.0066,-0.008,0.1,0.01,0,20,0.1,0.5,GDAXI
NAS100,9510,0.7,-0.0515,-0.0431,0.1,0.008887,0,20,0.1,0.5,NDX
SPX500,2973.9,0.3,-0.182,-0.152,0.1,0.008887,0,20,0.1,0.5,SPX500
UK100,6042.2,0.7,-0.0318,-0.0285,0.1,0.011159,0,20,0.1,0.5,UK100
US30,24934,2,-0.1111,-0.088,1,0.088873,0,20,0.1,0.5,WS30
USD/CAD,1.36337,0.00008,-0.339,-0.2673,0.0001,0.065189,0,200,1000,0.5,USD/CAD
USD/CHF,0.94937,0.00005,-0.1217,-0.4868,0.0001,0.093615,0,100,1000,0.5,USD/CHF
USD/JPY,107.38,0.005,-0.2566,-0.3559,0.01,0.082771,0,200,1000,0.5,USD/JPY
XAG/USD,17.13,0.008,-0.00061,-0.00056,0.01,0.45,0,33,50,-0.005,XAG/USD
XAU/USD,1711.94,0.15,-0.089,-0.036,0.01,0.008887,0,33,1,-0.005,XAU/USD
