Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.636630,0.00016,0.2400,-0.5100,0.00010,0.091970,30.0000,19.517,1000.00,0.6,AUD/USD
EUR/CHF,1.05201,0.00016,0.0800,-0.5294,0.00010,0.095084,33.3000,30.039,1000.00,0.8,EUR/CHF
EUR/USD,1.08762,0.00012,-0.300,0.0340,0.00010,0.091970,33.3000,30.039,1000.00,0.6,EUR/USD
GBP/USD,1.25082,0.00011,0.0500,-0.1200,0.00010,0.091970,39.9600,28.788,1000.00,0.6,GBP/USD
GER30,10700.91,2.0,-0.0918,0.0000,1.00000,0.100000,50.0000,21.402,1.00,0.000,GER30
NAS100,8811.33,1.0,0.0477,-0.0900,1.00000,0.091970,35.0000,23.154,1.00,0.000,NAS100
SPX500,2875.32,0.38,0.3265,-0.5419,0.10000,0.091970,115.0000,22.995,1.00,0.000,SPX500
UK100,5848.31,2.0,-0.0883,0.0000,1.00000,0.114993,30.0000,22.417,1.00,0.000,UK100
US30,24277.30,2.0,0.1271,-0.2948,1.00000,0.091970,95.0000,23.503,1.00,0.000,US30
USD/CAD,1.40056,0.00009,-0.2100,0.0900,0.00010,0.065674,36.6300,25.111,1000.00,0.8,USD/CAD
USD/CHF,0.967470,0.00018,0.1500,-0.5800,0.00010,0.095105,36.6300,25.119,1000.00,0.6,USD/CHF
USD/JPY,107.56,0.0053,0.0200,-0.0400,0.01000,0.085525,36.6300,25.114,1000.00,0.6,USD/JPY
XAG/USD,15.24,0.08,-0.0003,0.0000,0.01000,0.459851,70.0000,10.009,50.00,0.000,XAG/USD
XAU/USD,1684.97,1.77,-0.0124,0.0000,0.01000,0.009197,80.0000,19.371,1.00,0.000,XAU/USD
