Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.72503,0.00003,0.0241,-0.0581,0.00010,0.100,0,100,1000,0.000,AUD/USD
EUR/CHF,1.1304,0.00011,0.0694,-0.1845,0.00010,0.101,0,100,1000,0.000,EUR/CHF
EUR/USD,1.1702,0.00003,-0.177,0.0444,0.00010,0.100,0,100,1000,0.000,EUR/USD
GBP/USD,1.3189,0.00009,-0.070,0.0235,0.00010,0.100,0,100,1000,0.000,GBP/USD
GER30,12181.07,1.27,-0.3200,-0.0800,0.01,0.011702,0,100,1,0.000,GER30
NAS100,7498.50,1.6,-0.5400,0.0600,0.01,0.01,0,100,1,0.000,NAS100
SPX500,2905.30,0.4,-0.5900,0.06,0.01,0.01,0,100,1,0.000,US500
UK100,7294.10,2.0,-0.600,0.3200,0.01,0.013188,0,100,1,0.000,UK100
US30,26283.30,2.5,-1.4600,0.1200,0.01,0.01,0,100,1,0.000,US30
USD/CAD,1.2951,0.00008,0.1074,-0.2356,0.00010,0.076,0,100,1000,0.000,USD/CAD
USD/CHF,0.96595,0.00009,0.6245,-0.9765,0.00010,0.101,0,100,1000,0.000,USD/CHF
USD/JPY,112.37,0.005,0.3485,-0.9240,0.01000,0.090,0,100,1000,0.000,USD/JPY
XAG/USD,14.18,0.008,-0.0030,0.00138,0.01000,0.5,0,100,50,0.000,XAG/USD
XAU/USD,1202.74,0.05,-0.0121,0.00275,0.01000,0.010000,0,100,1.00,0.000,XAU/USD
