Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.73053,0.00005,0.1665,-0.4580,0.00010,0.000100,0,100,1.00,0.000,AUD/USD
EUR/CHF,1.13617,0.00004,0.0544,-0.4801,0.00010,0.000101,0,100,1.00,0.000,EUR/CHF
EUR/USD,1.14174,0.00005,-0.0977,-0.1095,0.00010,0.000100,0,100,1.00,0.000,EUR/USD
GBP/USD,1.27751,0.00003,0.0092,-0.2495,0.00010,0.000100,0,100,1.00,0.000,GBP/USD
GER30,12418,1,-0.5151,0.0859,1.00000,1.140490,0,100,1.00,0.000,DE30/EUR
NAS100,7417,1,0.0210,-0.1892,1.00000,1.000000,0,100,1.00,0.000,NAS100/USD
SPX500,2838,0.5,0.0645,-0.1439,1.00000,1.000000,0,100,1.00,0.000,SPX500/USD
UK100,7678,1,0.8444,-1.1908,1.00000,1.276160,0,100,1.00,0.000,UK100/GBP
US30,25319,2,0.6794,-1.3588,1.00000,1.000000,0,100,1.00,0.000,US30/USD
USD/CAD,1.31471,0.0001,-0.1490,-0.0604,0.00010,0.000076,0,100,1.00,0.000,USD/CAD
USD/CHF,0.99567,0.00022,0.0627,-0.4682,0.00010,0.000101,0,100,1.00,0.000,USD/CHF
USD/JPY,110.91,0.004,-0.0006,-0.0980,0.01000,0.000090,0,100,1.00,0.000,USD/JPY
USD/MXN,18.92625,0.04611,-0.0706,-0.0576,0.00010,0.000005,0,100,1.00,0.000,USD/MXN
XAG/USD,15.35795,0.046,-0.0002,-0.0004,0.00010,0.000100,0,100,1.00,0.000,XAG/USD
XAU/USD,1210.69,0.31,-0.0199,-0.0290,0.01000,0.010000,0,100,1.00,0.000,XAU/USD
