Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.72149,0.00013,0.1665,-0.458,0.0001,0.000089,0,30,1,0, 
EUR/CHF,1.1085,0.00018,0.0544,-0.4801,0.0001,0.00009,0,30,1,0, 
EUR/USD,1.12114,0.00011,-0.0977,-0.1095,0.0001,0.000089,0,30,1,0, 
GBP/USD,1.45962,0.00017,0.0092,-0.2495,0.0001,0.000089,0,30,1,0, 
GER30,9801.4,0.8,-0.5151,0.0859,1,1,0,20,1,0,DE30/EUR
NAS100,4303.6,0.6,0.021,-0.1892,1,0.892093,0,20,1,0,NAS100/USD
SPX500,2032.2,0.5,0.0645,-0.1439,1,0.892077,0,20,1,0,SPX500/USD
UK100,6073.3,1,0.8444,-1.1908,1,1.302321,0,20,1,0,UK100/GBP
US30,17388.8,2,0.6794,-1.3588,1,0.891997,0,20,1,0,US30/USD
USD/CAD,1.31161,0.00017,-0.149,-0.0604,0.0001,0.000068,0,30,1,0, 
USD/CHF,0.98863,0.00018,0.0627,-0.4682,0.0001,0.00009,0,30,1,0, 
USD/MXN,18.50,0.00897,-0.0706,-0.0576,0.0001,0.000005,0,20,1,0, 
USD/JPY,109.814,0.013,-0.0006,-0.098,0.01,0.000081,0,30,1,0, 
XAG/USD,16.4298,0.025,-0.0002,-0.0004,0.0001,0.000089,0,20,1,0, 
XAU/USD,1250.53,0.314,-0.0199,-0.029,0.01,0.008919,0,20,1,0, 
