Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol,Sector
OVV,19.98,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
MIME,44.49,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
FHI,29.05,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
GT,13.49,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
CIT,43.37,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
AA,21.76,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Bas
CIM,11.08,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
KAR,19.06,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
BKU,38.60,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
CHX,17.19,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
APG,18.10,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
WCC,76.62,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
CVET,38.41,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
VIR,77.17,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
CMD,77.21,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
HGV,34.16,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
X,16.44,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Bas
ONTO,59.12,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
RPAI,10.11,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
CXP,14.30,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
TCBI,69.09,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
BIPC,63.35,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
TWO,6.42,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
CRNC,120.88,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
NAVI,12.59,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
REZI,26.19,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
ARNC,26.47,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
MD,26.74,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
OI,13.93,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
SMCI,33.90,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
MAC,13.00,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
CNK,19.56,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Com
SITC,11.99,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
BRMK,10.80,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
SDGR,105.46,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
RRC,9.77,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
UFS,33.37,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Bas
VVNT,19.36,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
CLNY,5.54,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
MFA,3.94,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
SWBI,18.41,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
PRDO,13.84,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
RIG,3.58,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
URBN,29.51,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
PIPR,103.01,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
DHC,4.43,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
EPAC,21.52,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
ABR,15.08,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
PBF,9.43,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
SBGI,32.45,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Com
RPAY,25.76,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
WKHS,40.19,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
AMCX,46.45,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Com
IGT,18.45,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
SWTX,93.15,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
VIE,52.85,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
FRO,6.64,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
BRBR,24.28,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
ONEM,56.80,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
SPNS,34.61,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
KOS,2.85,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
PFC,30.13,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
PGNY,50.44,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
ARCT,84.15,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
AR,8.07,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
M,15.28,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
PRVB,15.31,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
RLMD,34.98,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
FREQ,50.04,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
SHYF,33.69,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
PAE,9.28,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
PING,33.98,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
IHRT,14.40,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Com
DRRX,2.58,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
FCEL,27.96,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
BDTX,28.14,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
IMVT,24.50,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
IGMS,121.23,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
ZNTL,39.47,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
APLT,28.65,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
OPCH,19.28,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
CODX,19.21,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
RVMD,54.29,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
NLTX,14.25,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
QTNT,5.07,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
FRG,36.67,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
SVC,11.80,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
VERI,48.83,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
FLR,19.39,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
ACEL,10.34,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
PASG,20.07,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
NEX,3.81,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
PHAT,44.02,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
RGP,12.73,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
PGEN,8.85,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
BRP,27.72,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
BEAM,115.40,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
VMD,9.94,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
ARQT,36.04,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
VXRT,8.98,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
OVID,3.50,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
BGCP,4.06,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
NK,28.06,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
ORIC,34.73,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
GSKY,5.79,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
BCLI,7.33,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
RAPT,21.40,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
TRUE,5.17,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Com
XPEL,57.67,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
VSTM,2.49,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
ALRS,27.28,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
PTEN,6.21,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
APRE,7.16,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
OPRT,17.30,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
NLS,30.54,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
KROS,70.15,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
STSA,7.10,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
MCBS,14.79,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
ISEE,6.04,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
MCF,3.57,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ene
SITM,142.20,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
CYBE,27.53,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
APT,19.54,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Ind
KRMD,4.45,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
SI,160.06,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
SPT,75.04,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
MGI,9.69,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
GAN,29.78,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
HEAR,31.49,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Tec
AWH,9.07,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,N/A
STXS,5.33,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
PRTS,21.87,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
COFS,26.30,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Fin
PACK,20.14,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
SELB,4.86,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
#ICAD,17.83,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
AGRX,3.61,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
UTI,6.27,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
FENC,8.68,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Hea
GRWG,64.58,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Con
PLYM,15.14,0.01,0,0,0.01,0.01,-50,0,-100,0.01,*-STK-SMART-USD!YAHOO:*,Rea
