Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AA
AAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AAL
AAPL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AAPL
ABBV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ABBV
ABT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ABT
ACN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ACN
ADBE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ADBE
ADI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ADI
ADP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ADP
ADSK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ADSK
AEP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AEP
AES,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AES
AGN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AGN
AIG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AIG
AKAM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AKAM
ALL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ALL
ALXN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ALXN
AMAT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AMAT
AMGN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AMGN
AMZN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AMZN
APA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,APA
APC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,APC
ATI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ATI
ATVI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ATVI
AVGO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AVGO
AVP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AVP
AXP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,AXP
BA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BA
BAC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BAC
BAX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BAX
BBBY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BBBY
BHI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BHI
BIDU,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BIDU
BIIB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BIIB
BK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BK
BLK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BLK
BMY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BMY
BRK_B,50,0.1,0,0,0.01,0.01,0,2,1,0.01,BRK_B
C,50,0.1,0,0,0.01,0.01,0,2,1,0.01,C
CA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CA
CAT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CAT
CBS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CBS
CELG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CELG
CERN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CERN
CHKP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CHKP
CHRW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CHRW
CHTR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CHTR
CI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CI
CL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CL
CMCSA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CMCSA
COF,50,0.1,0,0,0.01,0.01,0,2,1,0.01,COF
COP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,COP
COST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,COST
CPB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CPB
CRC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CRC
CSCO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CSCO
CTSH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CTSH
CTXS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CTXS
CVS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CVS
CVX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,CVX
DD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DD
DHR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DHR
DIS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DIS
DISCA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DISCA
DISCK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DISCK
DISH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DISH
DLTR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DLTR
DNOW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DNOW
DOW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DOW
DUK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DUK
DVN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,DVN
EA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EA
EBAY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EBAY
EMR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EMR
EQIX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EQIX
ESRX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ESRX
ETR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ETR
EXC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EXC
EXPD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EXPD
EXPE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,EXPE
F,50,0.1,0,0,0.01,0.01,0,2,1,0.01,F
FAST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FAST
FB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FB
FCX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FCX
FDX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FDX
FFIV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FFIV
FISV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FISV
FOSL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FOSL
FOX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FOX
FOXA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FOXA
FWONA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,FWONA
GD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GD
GE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GE
GILD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GILD
GM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GM
GOLD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GOLD
GOOG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GOOG
GOOGL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GOOGL
GRMN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GRMN
GS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,GS
HAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HAL
HD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HD
HIG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HIG
HON,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HON
HPE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HPE
HPQ,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HPQ
HSIC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,HSIC
IBM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,IBM
ILMN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,ILMN
