Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Weight
AAPL,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AAPL!YAHOO:*,3.25
MSFT,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MSFT!YAHOO:*,2.4
XOM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,XOM!YAHOO:*,1.93
AMZN,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AMZN!YAHOO:*,1.76
JNJ,100,0.1,0,0,0.01,0.01,0,2,1,0.02,JNJ!YAHOO:*,1.72
FB,100,0.1,0,0,0.01,0.01,0,2,1,0.02,FB!YAHOO:*,1.59
BRK-B,100,0.1,0,0,0.01,0.01,0,2,1,0.02,BRK.B!YAHOO:*,1.46
GE,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GE!YAHOO:*,1.42
T,100,0.1,0,0,0.01,0.01,0,2,1,0.02,T!YAHOO:*,1.33
JPM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,JPM!YAHOO:*,1.28
PG,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PG!YAHOO:*,1.28
GOOGL,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GOOGL!YAHOO:*,1.27
#GOOG,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GOOG!YAHOO:*,1.23
VZ,100,0.1,0,0,0.01,0.01,0,2,1,0.02,VZ!YAHOO:*,1.13
PFE,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PFE!YAHOO:*,1.1
WFC,100,0.1,0,0,0.01,0.01,0,2,1,0.02,WFC!YAHOO:*,1.07
CVX,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CVX!YAHOO:*,1.04
INTC,100,0.1,0,0,0.01,0.01,0,2,1,0.02,INTC!YAHOO:*,0.95
MRK,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MRK!YAHOO:*,0.92
KO,100,0.1,0,0,0.01,0.01,0,2,1,0.02,KO!YAHOO:*,0.88
BAC,100,0.1,0,0,0.01,0.01,0,2,1,0.02,BAC!YAHOO:*,0.85
CMCSA,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CMCSA!YAHOO:*,0.85
CSCO,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CSCO!YAHOO:*,0.85
HD,100,0.1,0,0,0.01,0.01,0,2,1,0.02,HD!YAHOO:*,0.85
V,100,0.1,0,0,0.01,0.01,0,2,1,0.02,V!YAHOO:*,0.83
PEP,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PEP!YAHOO:*,0.83
PM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PM!YAHOO:*,0.8
IBM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,IBM!YAHOO:*,0.74
DIS,100,0.1,0,0,0.01,0.01,0,2,1,0.02,DIS!YAHOO:*,0.73
C,100,0.1,0,0,0.01,0.01,0,2,1,0.02,C!YAHOO:*,0.73
UNH,100,0.1,0,0,0.01,0.01,0,2,1,0.02,UNH!YAHOO:*,0.71
AMGN,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AMGN!YAHOO:*,0.67
MO,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MO!YAHOO:*,0.66
MDT,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MDT!YAHOO:*,0.64
ORCL,100,0.1,0,0,0.01,0.01,0,2,1,0.02,ORCL!YAHOO:*,0.63
SLB,100,0.1,0,0,0.01,0.01,0,2,1,0.02,SLB!YAHOO:*,0.58
WMT,100,0.1,0,0,0.01,0.01,0,2,1,0.02,WMT!YAHOO:*,0.58
MMM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MMM!YAHOO:*,0.57
GILD,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GILD!YAHOO:*,0.56
ABBV,100,0.1,0,0,0.01,0.01,0,2,1,0.02,ABBV!YAHOO:*,0.55
QCOM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,QCOM!YAHOO:*,0.54
MCD,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MCD!YAHOO:*,0.53
MA,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MA!YAHOO:*,0.52
CVS,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CVS!YAHOO:*,0.51
AGN,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AGN!YAHOO:*,0.49
BMY,100,0.1,0,0,0.01,0.01,0,2,1,0.02,BMY!YAHOO:*,0.48
HON,100,0.1,0,0,0.01,0.01,0,2,1,0.02,HON!YAHOO:*,0.47
UNP,100,0.1,0,0,0.01,0.01,0,2,1,0.02,UNP!YAHOO:*,0.43
SBUX,100,0.1,0,0,0.01,0.01,0,2,1,0.02,SBUX!YAHOO:*,0.42
