Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol
AUD/USD,0.73048,0.00003,0,0,0.0001,2.2,7.305,0,25000,0.5,AUD.USD
EUR/CHF,1.13617,0.00014,0.0544,-0.4801,0.0001,0.101,11.48,0,1000,0,EUR.CHF
EUR/USD,1.1468,0.00002,0,0,0.0001,1.8,11.42,0,20000,0.5,EUR.USD
GBP/USD,1.33979,0.00007,0,0,0.0001,1.5,12.78,0,17000,0.5,GBP.USD
GER30,16075.68,1,0,0,1,1,141.6,0,1,0.02,IBDE30-CFD-SMART-EUR
NAS100,16079.89,0.25,0,0,1,0.9,74.17,0,1,0.02,IBUST100-CFD-SMART
SPX500,4658.03,0.25,0,0,1,0.9,28.38,0,1,0.02,IBUS500-CFD-SMART
UK100,6869,1,0,0,1,1,97.98,0,1,0.02,IBGB100-CFD-SMART-GBP
US30,36023.73,1,0,0,1,0.9,253.2,0,1,0.02,IBUS30-CFD-SMART
USD/CAD,1.25783,0.00007,0,0,0.0001,2.5,9.992,0,25000,0.5,USD.CAD
USD/CHF,0.92171,0.00003,0,0,0.0001,2.5,10.06,0,25000,0.5,USD.CHF
USD/JPY,113.9,0.002,0,0,0.01,1.7,9.982,0,25000,0.5,USD.JPY
XAG/USD,25.1,0.006,0,0,0.01,0.01,153.6,0,1,0.02,XAGUSD-CMDTY-SMART-USD
XAU/USD,1862.77,0.201358,0,0,0.01,0.01,12.11,0,1,1.6,XAUUSD-CMDTY-SMART-USD
