Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Type
AMZN,0,0.1,0,0,0.01,0.01,0,2,1,0.02,AMZN!STOOQ:AMZN.US,
APPN,0,0.1,0,0,0.01,0.01,0,2,1,0.02,APPN!STOOQ:APPN.US,
CME,0,0.1,0,0,0.01,0.01,0,2,1,0.02,CME!STOOQ:CME.US,
HUBS,0,0.1,0,0,0.01,0.01,0,2,1,0.02,HUBS!STOOQ:HUBS.US,1
IKNX,0,0.1,0,0,0.01,0.01,0,2,1,0.02,IKNX!STOOQ:IKNX.US,
ILMN,0,0.1,0,0,0.01,0.01,0,2,1,0.02,ILMN!STOOQ:ILMN.US,
LI,0,0.1,0,0,0.01,0.01,0,2,1,0.02,LI!STOOQ:LI.US,
MDB,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MDB!STOOQ:MDB.US,
MKC,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MKC!STOOQ:MKC.US,1
MTCH,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MTCH!STOOQ:MTCH.US,
NFLX,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NFLX!STOOQ:NFLX.US,
NIO,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NIO!STOOQ:NIO.US,
NVDA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NVDA!STOOQ:NVDA.US,
NVTA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NVTA!STOOQ:NVTA.US,
PAYC,0,0.1,0,0,0.01,0.01,0,2,1,0.02,PAYC!STOOQ:PAYC.US,
SEDG,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SEDG!STOOQ:SEDG.US,
SFIX,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SFIX!STOOQ:SFIX.US,
SHOP,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SHOP!STOOQ:SHOP.US,
SQ,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SQ!STOOQ:SQ.US,1
TEAM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TEAM!STOOQ:TEAM.US,
TSLA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TSLA!STOOQ:TSLA.US,
TTD,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TTD!STOOQ:TTD.US,
TWLO,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TWLO!STOOQ:TWLO.US,
WM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,WM!STOOQ:WM.US,
XPEV,0,0.1,0,0,0.01,0.01,0,2,1,0.02,XPEV!STOOQ:XPEV.US,
ZM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,ZM!STOOQ:ZM.US,
ABNB,0,0.1,0,0,0.01,0.01,0,2,1,0.02,ABNB!STOOQ:ABNB.US,
FVRR,0,0.1,0,0,0.01,0.01,0,2,1,0.02,FVRR!STOOQ:FVRR.US,
