Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Type,
//CSJ,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:CSJ.US,1,bonds
CWI,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:CWI.US,2,Ex US ETF
HYG,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:HYG.US,1,1-2 yr Bonds
IAU,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:IAU.US,2,GOLD
ITB,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:ITB.US,0,Home construction ETF
SMH,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:SMH.US,0,Semiconductors
TLT,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:TLT.US,1,20 yr treasury
VGK,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:VGK.US,2,Vanguard EU ETF
VOO,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:VOO.US,3,S&P 500
SPY,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:SPY.US,3,
XBI,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:XBI.US,0,Biotech
XLI,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:XLI.US,0,Industrial sector
XLV,50,0.1,0,0,0.01,0.01,0,2,1,0.02,STOOQ:XLV.US,0,Healthcare
