Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,Multiplier,Commission,Symbol
AUD/USD,0.77311,0.00005,0,0,0.0001,2.2,0,33,25000,0.5,*
EUR/CHF,1.20104,0.00005,0,0,0.0001,2,0,33,20000,0.5,*
EUR/USD,1.13795,0.00005,0,0,0.0001,1.8,0,33,20000,0.5,*
GBP/USD,1.51364,0.00003,0,0,0.0001,1.5,0,33,17000,0.5,*
USD/CAD,1.24466,0.0001,0,0,0.0001,2.5,0,33,25000,0.5,*
USD/CHF,0.92203,0.00022,0,0,0.0001,2.5,0,33,25000,0.5,*
USD/JPY,117.489,0.004,0,0,0.01,1.7,0,33,25000,0.5,*
SPX500,2081.43,0.25,0,0,1,0.9,0,20,1,0.02,IBUS500-CFD-SMART
US30,17703.2,3,0,0,1,0.9,0,20,1,0.02,IBUS30-CFD-SMART
NAS100,4654.34,0.5,0,0,1,0.9,0,20,1,0.02,IBUST100-CFD-SMART
UK100,6869,1,0,0,1,1,0,20,1,0.02,IBUK100-CFD-SMART-GBP
GER30,10767.8,1,0,0,1,1,0,20,1,0.02,IBDE30-CFD-SMART-EUR
XAG/USD,15.863,0.013,0,0,0.01,0.01,0,20,1,0.02,XAGUSD-CMDTY-SMART-USD
XAU/USD,1156.25,0.07,0,0,0.01,0.01,0,20,1,1.6,XAUUSD-CMDTY-SMART-USD
