Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol
AUD/USD,0.774485,0.00002,-0.2385,-0.18,0.0001,0.087357,31.87,0,1000,0.5,AUD/USD.r
EUR/CHF,1.13617,0.00014,0.0544,-0.4801,0.0001,0.101,11.48,0,1000,0,EUR/CHF.r
EUR/USD,1.22103,0.00001,-0.3486,0.02009,0.0001,0.087357,33.34,0,1000,0.5,EUR/USD.r
GBP/USD,1.41717,0.00003,-0.3127,-0.2822,0.0001,0.087357,39.01,0,1000,0.5,GBP/USD.r
GER30,15596.39,1,0,0,1,1,141.6,0,1,0.02,GER30.r
NAS100,13691.17,1.9,-2.66,-2.34,0.1,0.0087357,70.13,0,0.1,0.02,NAS100.r
SPX500,4211.22,0.6,-2.66,-2.34,0.1,0.0087357,20.33,0,0.1,0.02,US500.r
UK100,7108,1,-2.58,-2.42,0.1,0.011702,43.01,0,0.1,0.02,UK100.r
US30,34625.45,3.6,-2.66,-2.34,0.1,0.0087357,157.1,0,0.1,0.02,US30.r
USD/CAD,1.20417,0.00004,-0.1895,-0.1465,0.0001,0.069408,29.12,0,1000,0.5,USD/CAD.r
USD/CHF,0.89832,0.00003,0.02747,-0.4045,0.0001,0.09472,29.12,0,1000,0.5,USD/CHF.r
USD/JPY,109.6,0.002,-0.1647,-0.2222,0.01,0.076604,29.12,0,1000,0.5,USD/JPY.r
XAG/USD,28.17,0.014,-0.3756,-0.1878,0.01,0.43678,153.6,0,50,0.02,XAG/USD.r
XAU/USD,1908.07,0.15,-0.02079,-0.004543,0.01,0.0087357,12.11,0,1,1.6,XAU/USD.r
