Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Type
//TMF,0,0.1,0,0,0.01,0.01,0,2,1,0.02,//TMF!STOOQ://TMF.US,
UDOW,0,0.1,0,0,0.01,0.01,0,2,1,0.02,UDOW!STOOQ:UDOW.US,3
AMZN,0,0.1,0,0,0.01,0.01,0,2,1,0.02,AMZN!STOOQ:AMZN.US,
APPN,0,0.1,0,0,0.01,0.01,0,2,1,0.02,APPN!STOOQ:APPN.US,1
CME,0,0.1,0,0,0.01,0.01,0,2,1,0.02,CME!STOOQ:CME.US,
HUBS,0,0.1,0,0,0.01,0.01,0,2,1,0.02,HUBS!STOOQ:HUBS.US,
WULF,0,0.1,0,0,0.01,0.01,0,2,1,0.02,IKNX!STOOQ:WULF.US,
//IKNX,0,0.1,0,0,0.01,0.01,0,2,1,0.02,IKNX!STOOQ:IKNX.US,
ILMN,0,0.1,0,0,0.01,0.01,0,2,1,0.02,ILMN!STOOQ:ILMN.US,
//breaksLI,0,0.1,0,0,0.01,0.01,0,2,1,0.02,LI!STOOQ:LI.US,
MDB,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MDB!STOOQ:MDB.US,1
MKC,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MKC!STOOQ:MKC.US,
MTCH,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MTCH!STOOQ:MTCH.US,
NFLX,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NFLX!STOOQ:NFLX.US,
//NIO,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NIO!STOOQ:NIO.US,
NVDA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NVDA!STOOQ:NVDA.US,
NVTA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,NVTA!STOOQ:NVTA.US,
PAYC,0,0.1,0,0,0.01,0.01,0,2,1,0.02,PAYC!STOOQ:PAYC.US,
SEDG,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SEDG!STOOQ:SEDG.US,
//LowSFIX,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SFIX!STOOQ:SFIX.US,
SHOP,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SHOP!STOOQ:SHOP.US,
SQ,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SQ!STOOQ:SQ.US,
TEAM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TEAM!STOOQ:TEAM.US,1
TSLA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TSLA!STOOQ:TSLA.US,1
TTD,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TTD!STOOQ:TTD.US,
TWLO,0,0.1,0,0,0.01,0.01,0,2,1,0.02,TWLO!STOOQ:TWLO.US,
WM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,WM!STOOQ:WM.US,
//breaksXPEV,0,0.1,0,0,0.01,0.01,0,2,1,0.02,XPEV!STOOQ:XPEV.US,
//ZM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,ZM!STOOQ:ZM.US,1
//ABNB,0,0.1,0,0,0.01,0.01,0,2,1,0.02,ABNB!STOOQ:ABNB.US,
//FVRR,0,0.1,0,0,0.01,0.01,0,2,1,0.02,FVRR!STOOQ:FVRR.US,
//SPI,0,0.1,0,0,0.01,0.01,0,2,1,0.02,SPI!STOOQ:SPI.US,
//BITF,0,0.1,0,0,0.01,0.01,0,2,1,0.02,BITF!STOOQ:BITF.US,
//CPRSS,0,0.1,0,0,0.01,0.01,0,2,1,0.02,CPRSS!STOOQ:CPRSS.US,
//MRAM,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MRAM!STOOQ:MRAM.US,
//MARA,0,0.1,0,0,0.01,0.01,0,2,1,0.02,MARA!STOOQ:MARA.US,
