Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol
ABNB,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,ABNB-STK-SMART-USD
AMZN,3510.43,1.01000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,AMZN-STK-SMART-USD
APPN,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,APPN-STK-SMART-USD
CME,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,CME-STK-SMART-USD
FVRR,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,FVRR-STK-SMART-USD
HUBS,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,HUBS-STK-SMART-USD
IKNX,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,IKNX-STK-SMART-USD
ILMN,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,ILMN-STK-SMART-USD
LI,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,LI-STK-SMART-USD
MDB,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,MDB-STK-SMART-USD
MKC,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,MKC-STK-SMART-USD
MTCH,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,MTCH-STK-SMART-USD
NFLX,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,NFLX-STK-SMART-USD
NIO,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,NIO-STK-SMART-USD
NVDA,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,NVDA-STK-SMART-USD
NVTA,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,NVTA-STK-SMART-USD
PAYC,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,PAYC-STK-SMART-USD
SEDG,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,SEDG-STK-SMART-USD
SFIX,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,SFIX-STK-SMART-USD
SHOP,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,SHOP-STK-SMART-USD
SQ,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,SQ-STK-SMART-USD
TEAM,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,TEAM-STK-SMART-USD
TSLA,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,TSLA-STK-SMART-USD
TTD,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,TTD-STK-SMART-USD
TWLO,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,TWLO-STK-SMART-USD
UDOW,83.28,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,UDOW
WM,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,WM-STK-SMART-USD
XPEV,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,XPEV-STK-SMART-USD
ZM,1.00000,0.100000,0.0,0.0,0.010000,0.0100000,-50.00,0,1.00,0.0200,ZM-STK-SMART-USD
